,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,105.0,105.0,105.0,105.0,4,1,2023-03-16,50,2023-05-19
1,114.7,115.4,114.7,115.4,10,2,2023-05-04,50,2023-05-19
2,122.30000000000001,122.30000000000001,121.7,121.7,2,2,2023-05-09,50,2023-05-19
3,122.0,122.30000000000001,121.85000000000001,121.85000000000001,4,4,2023-05-15,50,2023-05-19
4,122.85000000000001,122.85000000000001,122.10000000000001,122.10000000000001,15,10,2023-05-16,50,2023-05-19
5,122.0,122.60000000000001,122.0,122.60000000000001,4,4,2023-05-17,50,2023-05-19
6,124.30000000000001,124.60000000000001,124.30000000000001,124.60000000000001,217,17,2023-05-18,50,2023-05-19
7,125.7,125.9,125.05000000000001,125.05000000000001,31,6,2023-05-19,50,2023-05-19
8,100.2,100.2,100.2,100.2,5,2,2023-03-16,55,2023-05-19
9,117.2,117.2,117.2,117.2,1,1,2023-05-15,55,2023-05-19
10,118.75,118.75,118.75,118.75,1,1,2023-05-18,55,2023-05-19
11,120.05000000000001,120.05000000000001,120.05000000000001,120.05000000000001,5,1,2023-05-19,55,2023-05-19
12,95.2,95.25,95.05000000000001,95.05000000000001,328,52,2022-10-31,60,2023-05-19
13,95.60000000000001,95.80000000000001,95.55000000000001,95.80000000000001,8,8,2022-11-01,60,2023-05-19
14,90.65,92.35000000000001,90.0,92.30000000000001,1810,140,2022-11-02,60,2023-05-19
15,83.7,83.7,80.85000000000001,81.35000000000001,1253,77,2022-11-03,60,2023-05-19
16,78.3,78.3,78.15,78.15,2,2,2022-11-04,60,2023-05-19
17,78.0,80.25,77.35000000000001,80.25,624,111,2022-11-07,60,2023-05-19
18,80.65,82.5,80.65,82.45,10,10,2022-11-08,60,2023-05-19
19,76.65,76.65,76.65,76.65,2,2,2022-11-09,60,2023-05-19
20,82.85000000000001,88.15,81.95,88.15,363,51,2022-11-10,60,2023-05-19
21,86.10000000000001,90.9,86.05,90.9,8,7,2022-11-11,60,2023-05-19
22,89.75,89.80000000000001,89.75,89.80000000000001,2,2,2022-11-14,60,2023-05-19
23,93.80000000000001,93.95,90.7,90.7,10,7,2022-11-15,60,2023-05-19
24,90.9,90.95,90.65,90.65,6,6,2022-11-16,60,2023-05-19
25,88.60000000000001,88.60000000000001,88.45,88.45,2,2,2022-11-17,60,2023-05-19
26,92.85000000000001,92.85000000000001,92.7,92.7,2,2,2022-11-18,60,2023-05-19
27,91.10000000000001,91.4,91.05000000000001,91.4,232,23,2022-11-22,60,2023-05-19
28,91.65,91.65,91.65,91.65,15,1,2022-11-23,60,2023-05-19
29,87.05,87.25,85.0,85.25,6,6,2022-11-28,60,2023-05-19
30,82.93,82.93,82.93,82.93,12,1,2022-11-30,60,2023-05-19
31,89.65,89.65,89.65,89.65,2,2,2022-12-01,60,2023-05-19
32,88.35000000000001,88.4,88.25,88.25,93,19,2022-12-02,60,2023-05-19
33,89.10000000000001,89.15,88.35000000000001,88.35000000000001,216,18,2022-12-05,60,2023-05-19
34,85.60000000000001,85.9,83.9,83.9,320,25,2022-12-06,60,2023-05-19
35,84.3,84.3,84.25,84.3,4,4,2022-12-07,60,2023-05-19
36,83.95,83.95,83.3,83.35000000000001,5,5,2022-12-08,60,2023-05-19
37,86.25,86.25,84.99000000000001,84.99000000000001,5,5,2022-12-09,60,2023-05-19
38,83.5,83.5,83.35000000000001,83.5,6,6,2022-12-12,60,2023-05-19
39,88.15,88.15,88.05,88.05,4,4,2022-12-13,60,2023-05-19
40,86.9,87.05,86.9,87.05,2,2,2022-12-14,60,2023-05-19
41,79.15,79.15,79.15,79.15,2,2,2022-12-15,60,2023-05-19
42,78.55,78.7,75.60000000000001,75.60000000000001,5,5,2022-12-16,60,2023-05-19
43,72.95,72.95,72.95,72.95,3,3,2022-12-19,60,2023-05-19
44,72.85000000000001,72.85000000000001,72.85000000000001,72.85000000000001,2,2,2022-12-20,60,2023-05-19
45,76.9,77.7,76.35000000000001,76.4,14,13,2022-12-21,60,2023-05-19
46,73.85000000000001,73.85000000000001,72.35000000000001,72.35000000000001,3,3,2022-12-22,60,2023-05-19
47,71.05,72.55,71.0,72.55,10,9,2022-12-23,60,2023-05-19
48,70.55,71.0,70.52000000000001,70.85000000000001,30,4,2022-12-29,60,2023-05-19
49,69.5,69.5,69.45,69.45,2,2,2022-12-30,60,2023-05-19
50,72.5,72.5,72.5,72.5,1,1,2023-01-09,60,2023-05-19
51,75.60000000000001,75.60000000000001,75.60000000000001,75.60000000000001,1,1,2023-01-19,60,2023-05-19
52,82.0,82.0,82.0,82.0,1,1,2023-01-23,60,2023-05-19
53,94.0,94.0,94.0,94.0,1,1,2023-02-07,60,2023-05-19
54,93.55000000000001,93.60000000000001,93.55000000000001,93.60000000000001,2,2,2023-02-09,60,2023-05-19
55,94.81,95.01,94.81,95.01,2,2,2023-02-15,60,2023-05-19
56,95.58,95.58,95.58,95.58,1,1,2023-02-16,60,2023-05-19
57,86.93,86.93,86.93,86.93,2,2,2023-02-24,60,2023-05-19
58,86.52000000000001,86.52000000000001,86.52000000000001,86.52000000000001,4,1,2023-03-01,60,2023-05-19
59,88.46000000000001,88.46000000000001,88.46000000000001,88.46000000000001,4,1,2023-03-03,60,2023-05-19
60,98.0,98.0,98.0,98.0,2,1,2023-03-21,60,2023-05-19
61,100.97,100.97,100.97,100.97,1,1,2023-04-10,60,2023-05-19
62,104.85000000000001,104.85000000000001,104.85000000000001,104.85000000000001,1,1,2023-04-24,60,2023-05-19
63,113.92,113.92,113.92,113.92,2,2,2023-05-05,60,2023-05-19
64,113.30000000000001,114.55000000000001,113.25,114.55000000000001,16193,36,2023-05-11,60,2023-05-19
65,112.66000000000001,112.66000000000001,112.60000000000001,112.66000000000001,5,3,2023-05-12,60,2023-05-19
66,112.0,112.0,112.0,112.0,1,1,2023-05-15,60,2023-05-19
67,112.35000000000001,112.35000000000001,112.35000000000001,112.35000000000001,1,1,2023-05-16,60,2023-05-19
68,114.55000000000001,114.55000000000001,114.35000000000001,114.35000000000001,2,2,2023-05-18,60,2023-05-19
69,115.9,115.9,115.9,115.9,6,2,2023-05-19,60,2023-05-19
70,90.4,90.4,90.4,90.4,4,4,2022-10-31,65,2023-05-19
71,85.55,86.8,84.95,86.8,1314,95,2022-11-02,65,2023-05-19
72,78.7,78.9,76.25,76.9,117,28,2022-11-03,65,2023-05-19
73,75.10000000000001,75.3,73.4,73.5,4,4,2022-11-04,65,2023-05-19
74,73.7,74.95,72.60000000000001,74.95,866,119,2022-11-07,65,2023-05-19
75,75.2,77.75,75.2,77.75,58,21,2022-11-08,65,2023-05-19
76,78.55,80.25,77.25,80.25,1300,94,2022-11-10,65,2023-05-19
77,81.55,86.2,81.4,86.10000000000001,1204,133,2022-11-11,65,2023-05-19
78,85.0,85.75,84.45,85.7,124,21,2022-11-14,65,2023-05-19
79,89.10000000000001,89.10000000000001,85.8,86.05,14,13,2022-11-15,65,2023-05-19
80,86.05,86.2,86.0,86.2,10,9,2022-11-16,65,2023-05-19
81,83.85000000000001,83.9,83.85000000000001,83.9,2,2,2022-11-17,65,2023-05-19
82,88.05,88.05,88.05,88.05,62,4,2022-11-18,65,2023-05-19
83,85.60000000000001,85.65,85.60000000000001,85.60000000000001,4,4,2022-11-21,65,2023-05-19
84,86.25,86.7,86.25,86.7,94,20,2022-11-22,65,2023-05-19
85,85.10000000000001,85.10000000000001,85.05,85.10000000000001,6,6,2022-11-25,65,2023-05-19
86,82.60000000000001,82.60000000000001,80.15,80.15,106,8,2022-11-28,65,2023-05-19
87,79.15,79.15,78.9,78.9,32,14,2022-11-29,65,2023-05-19
88,78.35000000000001,78.35000000000001,78.35000000000001,78.35000000000001,2,2,2022-11-30,65,2023-05-19
89,83.5,83.5,83.45,83.45,6,5,2022-12-02,65,2023-05-19
90,84.3,84.3,84.3,84.3,2,2,2022-12-05,65,2023-05-19
91,80.75,81.15,80.75,81.10000000000001,30,12,2022-12-06,65,2023-05-19
92,79.55,79.60000000000001,79.10000000000001,79.10000000000001,10,5,2022-12-07,65,2023-05-19
93,77.45,78.60000000000001,77.45,78.38000000000001,6,6,2022-12-08,65,2023-05-19
94,73.45,73.45,73.4,73.4,2,2,2022-12-16,65,2023-05-19
95,68.25,68.25,68.25,68.25,2,2,2022-12-19,65,2023-05-19
96,72.10000000000001,72.15,72.10000000000001,72.15,4,4,2022-12-21,65,2023-05-19
97,67.3,67.3,67.2,67.2,4,4,2022-12-23,65,2023-05-19
98,65.9,66.05,65.9,66.05,2,2,2022-12-27,65,2023-05-19
99,67.2,67.2,67.15,67.15,2,2,2023-01-09,65,2023-05-19
100,108.75,109.4,108.5,108.95,16252,21,2023-05-11,65,2023-05-19
101,110.9,110.9,110.9,110.9,5,1,2023-05-19,65,2023-05-19
102,85.60000000000001,85.95,84.65,84.65,618,107,2022-10-31,70,2023-05-19
103,80.7,80.7,80.55,80.55,82,8,2022-11-02,70,2023-05-19
104,74.10000000000001,74.10000000000001,72.55,72.55,178,11,2022-11-03,70,2023-05-19
105,69.2,70.60000000000001,68.2,70.60000000000001,408,92,2022-11-07,70,2023-05-19
106,72.95,72.95,72.95,72.95,2,2,2022-11-08,70,2023-05-19
107,74.95,75.0,74.95,75.0,2,2,2022-11-10,70,2023-05-19
108,77.65,78.0,77.65,78.0,86,14,2022-11-11,70,2023-05-19
109,79.55,79.85000000000001,79.55,79.85000000000001,6,6,2022-11-14,70,2023-05-19
110,84.45,84.5,81.7,81.9,22,7,2022-11-15,70,2023-05-19
111,80.8,80.9,80.8,80.9,2,2,2022-11-21,70,2023-05-19
112,81.45,81.45,81.45,81.45,2,2,2022-11-22,70,2023-05-19
113,82.05,82.05,82.05,82.05,3,2,2022-11-23,70,2023-05-19
114,75.4,75.60000000000001,75.35000000000001,75.55,178,26,2022-11-28,70,2023-05-19
115,72.4,72.4,72.4,72.4,2,2,2022-11-29,70,2023-05-19
116,79.4,79.5,77.60000000000001,77.75,1069,139,2022-12-05,70,2023-05-19
117,74.15,74.2,74.10000000000001,74.2,14,14,2022-12-08,70,2023-05-19
118,73.15,73.2,73.15,73.2,4,3,2022-12-09,70,2023-05-19
119,73.9,74.05,73.9,74.05,2,2,2022-12-12,70,2023-05-19
120,76.2,76.45,76.2,76.45,8,8,2022-12-13,70,2023-05-19
121,73.65,73.7,73.60000000000001,73.65,4,4,2022-12-14,70,2023-05-19
122,71.5,71.5,71.4,71.4,2,2,2022-12-15,70,2023-05-19
123,64.38000000000001,64.38000000000001,64.38000000000001,64.38000000000001,1,1,2022-12-19,70,2023-05-19
124,65.55,68.0,65.55,67.3,261,42,2022-12-21,70,2023-05-19
125,64.10000000000001,64.15,64.10000000000001,64.15,2,2,2022-12-22,70,2023-05-19
126,61.650000000000006,63.1,61.650000000000006,63.0,1084,114,2022-12-23,70,2023-05-19
127,60.5,60.5,60.5,60.5,2,2,2022-12-27,70,2023-05-19
128,62.1,62.1,62.050000000000004,62.050000000000004,2,2,2022-12-28,70,2023-05-19
129,59.650000000000006,59.95,59.550000000000004,59.95,33,3,2022-12-30,70,2023-05-19
130,56.25,56.25,56.25,56.25,21,1,2023-01-03,70,2023-05-19
131,58.300000000000004,58.300000000000004,58.300000000000004,58.300000000000004,2,2,2023-01-04,70,2023-05-19
132,65.0,65.0,65.0,65.0,1,1,2023-01-12,70,2023-05-19
133,73.75,73.75,73.75,73.75,1,1,2023-01-24,70,2023-05-19
134,69.8,71.8,69.8,71.8,3,3,2023-01-25,70,2023-05-19
135,74.22,74.22,74.22,74.22,1,1,2023-01-31,70,2023-05-19
136,86.0,86.0,86.0,86.0,1,1,2023-02-15,70,2023-05-19
137,81.85000000000001,81.85000000000001,81.85000000000001,81.85000000000001,1,1,2023-02-21,70,2023-05-19
138,79.3,79.3,79.3,79.3,2,2,2023-02-22,70,2023-05-19
139,85.35000000000001,85.35000000000001,85.35000000000001,85.35000000000001,5,1,2023-03-16,70,2023-05-19
140,88.05,88.05,88.05,88.05,1,1,2023-03-21,70,2023-05-19
141,91.0,91.0,90.85000000000001,90.85000000000001,3,3,2023-03-22,70,2023-05-19
142,88.95,88.95,88.95,88.95,1,1,2023-03-24,70,2023-05-19
143,96.5,96.85000000000001,96.5,96.85000000000001,4,4,2023-04-04,70,2023-05-19
144,94.0,94.0,94.0,94.0,1,1,2023-04-26,70,2023-05-19
145,96.80000000000001,96.80000000000001,96.2,96.2,3,3,2023-05-04,70,2023-05-19
146,103.85000000000001,104.45,103.30000000000001,104.2,12587,30,2023-05-11,70,2023-05-19
