DATE,Federal Funds Rate,Unemployment Rate,Bonds Rate,Inflation Rate,,,
1/3/2022,0.08,4,1.37,2.95,,,
1/4/2022,0.08,4,1.37,2.93,,,
1/5/2022,0.08,4,1.43,2.87,,,
1/6/2022,0.08,4,1.47,2.77,,,
1/7/2022,0.08,4,1.5,2.78,,,
1/10/2022,0.08,4,1.53,2.77,,,
1/11/2022,0.08,4,1.51,2.87,,,
1/12/2022,0.08,4,1.5,2.82,,,
1/13/2022,0.08,4,1.47,2.77,,,
1/14/2022,0.08,4,1.55,2.79,,,
1/18/2022,0.08,4,1.65,2.8,,,
1/19/2022,0.08,4,1.62,2.73,,,
1/20/2022,0.08,4,1.62,2.74,,,
1/21/2022,0.08,4,1.54,2.7,,,
1/24/2022,0.08,4,1.53,2.74,,,
1/25/2022,0.08,4,1.56,2.78,,,
1/26/2022,0.08,4,1.66,2.75,,,
1/27/2022,0.08,4,1.66,2.76,,,
1/28/2022,0.08,4,1.61,2.8,,,
1/31/2022,0.08,4,1.62,2.82,,,
2/1/2022,0.08,3.8,1.63,2.8,,,
2/2/2022,0.08,3.8,1.6,2.79,,,
2/3/2022,0.08,3.8,1.66,2.76,,,
2/4/2022,0.08,3.8,1.78,2.78,,,
2/7/2022,0.08,3.8,1.76,2.75,,,
2/8/2022,0.08,3.8,1.81,2.77,,,
2/9/2022,0.08,3.8,1.82,2.78,,,
2/10/2022,0.08,3.8,1.96,2.81,,,
2/11/2022,0.08,3.8,1.84,2.82,,,
2/14/2022,0.08,3.8,1.9,2.91,,,
2/15/2022,0.08,3.8,1.94,2.89,,,
2/16/2022,0.08,3.8,1.9,2.87,,,
2/17/2022,0.08,3.8,1.85,2.87,,,
2/18/2022,0.08,3.8,1.82,2.86,,,
2/22/2022,0.08,3.8,1.85,2.89,,,
2/23/2022,0.08,3.8,1.89,3.01,,,
2/24/2022,0.08,3.8,1.84,3.05,,,
2/25/2022,0.08,3.8,1.86,3.02,,,
2/28/2022,0.08,3.8,1.71,3.11,,,
3/1/2022,0.2,3.6,1.56,3.14,,,
3/2/2022,0.2,3.6,1.74,3.23,,,
3/3/2022,0.2,3.6,1.74,3.17,,,
