,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.VOLATILITY,DataType.EXDIV,DataType.DIV,DataType.DATE
0,178.26,182.88,177.5,181.98,112371755,770983,30.75,FALSE,0,1/3/2022
1,182.22,183.39,121.72,179.33,106432465,830044,31.35,FALSE,0,1/4/2022
2,179.52,182.0207,128.04,175.07,101652471,840118,34.01,FALSE,0,1/5/2022
3,174.78,178.26,121.72,172.9,103170442,950255,33.63,FALSE,0,1/6/2022
4,171.5,177.83,171.03,172.07,95637209,716353,33.03,FALSE,0,1/7/2022
5,172.22,177.97,168.17,172.92,116467710,948957,33.59,FALSE,0,1/10/2022
6,172.75,175.54,168.34,175.25,81664891,644974,31.54,FALSE,0,1/11/2022
7,174.88,177.18,168.34,175.08,79143718,638503,30.91,FALSE,0,1/12/2022
8,175.35,176.63,163.0345,172.07,91738827,686132,33.89,FALSE,0,1/13/2022
9,172.24,173.78,170.3,173.28,87269930,665632,32.37,FALSE,0,1/14/2022
10,170.85,173.0747,169.3,169.33,101642216,771719,37.32,FALSE,0,1/18/2022
11,169.3,172.19,165.01,165.78,100877169,814311,37.21,FALSE,0,1/19/2022
12,166.66,169.68,155.8017,163.02,95810477,784620,38.29,FALSE,0,1/20/2022
13,163.08,171.64,161.5,161.62,134042180,1059639,40.59,FALSE,0,1/21/2022
14,161.46,168.525,152.5,159.72,172874556,1599978,42.39,FALSE,0,1/24/2022
15,162,171.4703,157.01,159.81,124049511,990525,45.32,FALSE,0,1/25/2022
16,164,165.84,157.5738,160.5,114809543,997873,44.97,FALSE,0,1/26/2022
17,160.5,179.385,157.5,167.23,125484815,1142448,45.91,FALSE,0.22,1/27/2022
18,166.93,170.82,159.22,170.7,189402166,1502012,35.63,FALSE,0,1/28/2022
19,170.6,175,159.69,174.37,128863152,924137,31.41,FALSE,0,1/31/2022
20,174.7,175.44,166.575,174.58,93656533,725618,30.46,FALSE,0,2/1/2022
21,174.47,175.89,131.12,173.75,90641360,668362,29.46,FALSE,0,2/2/2022
22,174,176.9125,172.12,174.17,100607031,716277,34.18,FALSE,0,2/3/2022
23,173.5,175.22,161.1825,172.53,87770790,693794,31.94,TRUE,0,2/4/2022
24,172.39,175,170.95,172.38,83287622,571428,32.1,FALSE,0,2/7/2022
25,172.4,175.35,171.35,175.17,81040487,634278,29.77,FALSE,0,2/8/2022
26,175,176.77,169.11,176.01,78474153,574013,28,FALSE,0,2/9/2022
27,176.01,176.5,163.0345,171.75,99995824,761971,30.86,FALSE,0,2/10/2022
28,171.32,173.481,168.04,168.23,106784765,815725,34.77,FALSE,0,2/11/2022
29,168,171.6688,126.2,168.87,98888188,757499,34.63,FALSE,0,2/14/2022
30,168.87,172.96,167.7,171.9,71068037,562872,30.67,FALSE,0,2/15/2022
31,172.95,173.34,165.6556,172.13,66259499,543056,29.9,FALSE,0,2/16/2022
32,172.21,179.1418,168.47,168.88,78338818,584127,34.12,FALSE,0,2/17/2022
33,168.8,172.34,161.1825,166.5,93028313,687689,33.75,FALSE,0,2/18/2022
